****** begin! ******
****** step1 ******
episode 0, total reward -455.1859862528011
episode 549, total reward -460.36970724543437
episode 550, total reward -387.1262344506717
episode 551, total reward -464.8995491113105
episode 552, total reward -363.05052961508954
episode 553, total reward -459.3911062771745
episode 554, total reward -642.4902260241304
episode 555, total reward -696.5995428221172
episode 556, total reward -246.6587703885131
episode 557, total reward -469.8003596616404
episode 558, total reward -372.5658094410434
episode 559, total reward -384.3824689729333
episode 560, total reward -475.21207978829705
start test!
average_test_reward_sum = -534.8160897775036
episode 561, total reward -435.5203378056776
episode 562, total reward -372.38331619555856
episode 563, total reward -350.0620693912149
episode 564, total reward -582.8333799338089
episode 565, total reward -487.5415816621647
episode 566, total reward -277.96326182104076
episode 567, total reward -263.9585550502143
episode 568, total reward -460.3246659050378
episode 569, total reward -527.1852113229111
episode 570, total reward -467.0701893304983
episode 571, total reward -384.11528978462104
episode 572, total reward -375.15613174167345
episode 573, total reward -545.4227039934341
episode 574, total reward -364.7827026249614
episode 575, total reward -413.585836642796
episode 576, total reward -486.79246595250953
episode 577, total reward -452.18186820769546
episode 578, total reward -364.4347356585058
episode 579, total reward -255.94676813960723
episode 580, total reward -385.9548543356506
start test!
average_test_reward_sum = -544.5426990806396
episode 581, total reward -466.80148191330665
episode 582, total reward -361.7240432746264
episode 583, total reward -627.7390458264971
episode 584, total reward -371.50615384987236
episode 585, total reward -635.8903217549292
episode 586, total reward -465.12988175694073
episode 587, total reward -694.083874895237
episode 588, total reward -250.9175632360152
episode 589, total reward -519.1650515470433
episode 590, total reward -601.2762188612955
episode 591, total reward -602.8097013387317
episode 592, total reward -635.8200191383497
episode 593, total reward -434.39711527612263
episode 594, total reward -368.20350358095106
episode 595, total reward -544.0568639678852
episode 596, total reward -470.4462730954121
episode 597, total reward -501.3890550299552
episode 598, total reward -366.62358593945237
episode 599, total reward -487.90731817758916
episode 600, total reward -362.87794566197135
start test!
average_test_reward_sum = -533.3739459261989
episode 601, total reward -621.1688996336304
episode 602, total reward -465.6044615666699
episode 603, total reward -545.8067382124707
episode 604, total reward -436.2788217231795
episode 605, total reward -380.4800675617453
episode 606, total reward -447.4558284645336
episode 607, total reward -365.06641264348457
episode 608, total reward -462.0775956966896
episode 609, total reward -465.20055858399013
episode 610, total reward -342.13634503056363
episode 611, total reward -526.1669063766678
episode 612, total reward -529.423904811941
episode 613, total reward -671.0223886730413
episode 614, total reward -590.5695045303958
episode 615, total reward -282.90922709235036
episode 616, total reward -572.7813526509664
episode 617, total reward -593.3462805913356
episode 618, total reward -251.27323759749342
episode 619, total reward -363.51756973512767
episode 620, total reward -391.7034579150795
start test!
average_test_reward_sum = -510.83730878111
episode 621, total reward -451.88572992648096
episode 622, total reward -607.125940060851
episode 623, total reward -436.83333486996395
episode 624, total reward -511.1361473522499
episode 625, total reward -471.8047524868968
episode 626, total reward -365.1604455367759
episode 627, total reward -566.0267993875351
episode 628, total reward -279.09255313625704
episode 629, total reward -544.650199501244
episode 630, total reward -361.54547722390254
episode 631, total reward -524.9066674922284
episode 632, total reward -534.1713787031491
episode 633, total reward -577.5573102814508
episode 634, total reward -474.2713707873556
episode 635, total reward -551.557353961882
episode 636, total reward -544.3000739855735
episode 637, total reward -461.43853589943933
episode 638, total reward -463.21949640884014
episode 639, total reward -503.78159902384454
episode 640, total reward -661.4351628900953
start test!
average_test_reward_sum = -504.8490763858914
episode 641, total reward -462.05510849810383
episode 642, total reward -645.7964609177941
episode 643, total reward -256.0035809406105
episode 644, total reward -359.93557323546105
episode 645, total reward -527.2234848152509
episode 646, total reward -316.41727846513265
episode 647, total reward -461.5569157055116
episode 648, total reward -320.7729310305966
episode 649, total reward -446.7680711259254
episode 650, total reward -451.9185343313472
episode 651, total reward -235.8294792990652
episode 652, total reward -267.95272906741343
episode 653, total reward -323.13470123792683
episode 654, total reward -529.0094596103773
episode 655, total reward -539.5358779239128
episode 656, total reward -475.71213927891745
episode 657, total reward -252.73228587862457
episode 658, total reward -508.6263379317384
episode 659, total reward -552.0349037492442
episode 660, total reward -483.204582958544
start test!
average_test_reward_sum = -437.0701361470257
episode 661, total reward -468.2392368094738
episode 662, total reward -502.3746496556011
episode 663, total reward -464.25596943022884
episode 664, total reward -252.787954427594
episode 665, total reward -258.66630300446735
episode 666, total reward -620.0703613906362
episode 667, total reward -353.8239062649651
episode 668, total reward -389.61305625962376
episode 669, total reward -357.57924631238814
episode 670, total reward -543.6927571924201
episode 671, total reward -458.794123907652
episode 672, total reward -362.47353112384695
episode 673, total reward -679.1948952041245
episode 674, total reward -504.21433824304165
episode 675, total reward -633.1720844642851
episode 676, total reward -639.8895068174444
episode 677, total reward -290.55817978997874
episode 678, total reward -529.4427764827502
episode 679, total reward -485.16696698394264
episode 680, total reward -445.721815143079
start test!
average_test_reward_sum = -472.36314284500787
episode 681, total reward -359.23972076871377
episode 682, total reward -436.5106927061377
episode 683, total reward -676.5605006712441
episode 684, total reward -308.97390032788644
episode 685, total reward -363.98316148396003
episode 686, total reward -572.8576458345898
episode 687, total reward -385.37298332072015
episode 688, total reward -655.4852834003626
episode 689, total reward -501.0436356905386
episode 690, total reward -368.0791429115225
episode 691, total reward -447.7575600079284
episode 692, total reward -278.5179318280915
episode 693, total reward -262.83802978968805
episode 694, total reward -251.0105332079718
episode 695, total reward -250.973406202079
episode 696, total reward -357.42771867212406
episode 697, total reward -539.5036118826013
episode 698, total reward -701.2987066215686
episode 699, total reward -365.4580525091803
episode 700, total reward -381.54612338932253
start test!
average_test_reward_sum = -466.77636747843854
episode 701, total reward -252.0077770278268
episode 702, total reward -601.1103954737466
episode 703, total reward -647.920190978115
episode 704, total reward -255.83641421771668
episode 705, total reward -620.1414299814156
episode 706, total reward -620.339105869725
episode 707, total reward -481.9356403400929
episode 708, total reward -517.080832234617
episode 709, total reward -631.5500328814437
episode 710, total reward -363.79182202320993
episode 711, total reward -625.0147977912177
episode 712, total reward -359.71780607808967
episode 713, total reward -364.64598161938954
episode 714, total reward -378.2803487313392
episode 715, total reward -452.43914074582966
episode 716, total reward -643.3720445402928
episode 717, total reward -260.23921232406735
episode 718, total reward -482.9875173486301
episode 719, total reward -696.5559247109857
episode 720, total reward -540.8125529293249
start test!
average_test_reward_sum = -503.71377165431613
episode 721, total reward -680.5520269721624
episode 722, total reward -454.6811744385397
episode 723, total reward -527.6350328831862
episode 724, total reward -502.640546944073
episode 725, total reward -315.4818143563921
episode 726, total reward -487.44093147327396
episode 727, total reward -478.43550223432754
episode 728, total reward -365.22715548698073
episode 729, total reward -584.6398113301819
episode 730, total reward -466.7806132354255
episode 731, total reward -540.9138714159897
episode 732, total reward -252.10395401317103
episode 733, total reward -521.5731237770592
episode 734, total reward -491.5640938899254
episode 735, total reward -653.8168215916132
episode 736, total reward -385.41191115899744
episode 737, total reward -506.89334747107165
episode 738, total reward -519.438038158875
episode 739, total reward -458.8178333036153
episode 740, total reward -482.3248744609008
start test!
average_test_reward_sum = -549.6753378088888
episode 741, total reward -638.1958133290785
episode 742, total reward -472.880081663813
episode 743, total reward -365.37570136299195
episode 744, total reward -597.2053664817121
episode 745, total reward -392.1380216317725
episode 746, total reward -381.1337569867573
episode 747, total reward -369.6042496389784
episode 748, total reward -366.26365483367437
episode 749, total reward -460.3068612742778
episode 750, total reward -587.1050603223215
episode 751, total reward -393.2593637300838
episode 752, total reward -636.5553923103375
episode 753, total reward -249.65171048420063
episode 754, total reward -525.7774216814548
episode 755, total reward -253.28468981771513
episode 756, total reward -364.8486657488845
episode 757, total reward -384.93122016044225
episode 758, total reward -569.9562697813952
