****** begin! ******
****** step1 ******
episode 0, total reward -444.3598298980317
episode 479, total reward -556.489674823681
episode 480, total reward -686.834415375372
start test!
average_test_reward_sum = -537.8437581556275
episode 481, total reward -578.5640426270533
episode 482, total reward -471.9539251747249
episode 483, total reward -252.3557476366967
episode 484, total reward -257.07010196544525
episode 485, total reward -456.5305943994153
episode 486, total reward -603.1235689766132
episode 487, total reward -288.59203357058067
episode 488, total reward -365.3284760973321
episode 489, total reward -257.4385938071808
episode 490, total reward -374.2065592317665
episode 491, total reward -699.2135967091806
episode 492, total reward -548.0297836973704
episode 493, total reward -496.6332591803346
episode 494, total reward -302.8946631538331
episode 495, total reward -361.7546676179418
episode 496, total reward -249.7432035869069
episode 497, total reward -482.1337642583286
episode 498, total reward -323.37878898281605
episode 499, total reward -494.0454368184169
episode 500, total reward -362.9731791692703
start test!
average_test_reward_sum = -463.76490958003694
episode 501, total reward -377.0715798713489
episode 502, total reward -364.28810966366444
episode 503, total reward -437.1139069855452
episode 504, total reward -667.5527463751686
episode 505, total reward -708.4487800142783
episode 506, total reward -483.31253100942394
episode 507, total reward -431.6301536689151
episode 508, total reward -362.9833682058197
episode 509, total reward -382.17750714818607
episode 510, total reward -519.8728843778457
episode 511, total reward -272.18634513039734
episode 512, total reward -602.4684557084659
episode 513, total reward -465.2397897353013
episode 514, total reward -345.3363694249324
episode 515, total reward -604.6943881250414
episode 516, total reward -532.9421051789881
episode 517, total reward -459.55781122467283
episode 518, total reward -265.3316487918468
episode 519, total reward -478.9885948821524
episode 520, total reward -361.02052979552866
start test!
average_test_reward_sum = -523.2717158259416
episode 521, total reward -445.5480114450713
episode 522, total reward -361.27686584394155
episode 523, total reward -566.0535501375504
episode 524, total reward -365.29114202515484
episode 525, total reward -287.8305806177213
episode 526, total reward -364.1527253522046
episode 527, total reward -433.4237163240246
episode 528, total reward -252.71738890022223
episode 529, total reward -311.6422445353104
episode 530, total reward -278.21456761143816
episode 531, total reward -363.91872268854826
episode 532, total reward -609.1733863091714
episode 533, total reward -358.77918857944957
episode 534, total reward -247.09002749489858
episode 535, total reward -369.43844911485905
episode 536, total reward -318.66428624873936
episode 537, total reward -254.65317774013758
episode 538, total reward -644.522763183245
episode 539, total reward -403.74064511325787
episode 540, total reward -437.18152735705974
start test!
average_test_reward_sum = -466.0782539673264
episode 541, total reward -634.2093196237505
episode 542, total reward -364.1061205880869
episode 543, total reward -365.18549786822206
