****** begin! ******
****** step1 ******
episode 0, total reward -573.6744993729882
episode 551, total reward -374.43195938702263
episode 552, total reward -413.4477555431514
episode 553, total reward -470.208033408554
episode 554, total reward -363.8626738063653
episode 555, total reward -634.3223715309481
episode 556, total reward -540.5514212748076
episode 557, total reward -625.3865244953789
episode 558, total reward -532.5595691226048
episode 559, total reward -582.4676223338167
episode 560, total reward -257.5253925211874
start test!
average_test_reward_sum = -537.2690644094267
episode 561, total reward -376.8430361008252
episode 562, total reward -644.2728767866763
episode 563, total reward -524.780296212725
episode 564, total reward -379.96092157101344
episode 565, total reward -511.62838332611466
episode 566, total reward -496.65620293665876
episode 567, total reward -539.534461872044
episode 568, total reward -331.35872232386004
episode 569, total reward -398.69304231157884
episode 570, total reward -481.33923815698813
episode 571, total reward -361.5554737246779
episode 572, total reward -445.643194675292
episode 573, total reward -460.57595552530773
episode 574, total reward -452.72141948707
episode 575, total reward -318.9519165761994
episode 576, total reward -635.9643340742847
episode 577, total reward -485.1159971133886
episode 578, total reward -279.8038646077765
episode 579, total reward -426.14152851603603
episode 580, total reward -525.7953204394805
start test!
average_test_reward_sum = -481.7781908575298
episode 581, total reward -542.4231385103899
episode 582, total reward -486.0750145400676
episode 583, total reward -363.6505807125445
episode 584, total reward -430.0419658917915
episode 585, total reward -611.3212337589256
episode 586, total reward -611.2625334882893
episode 587, total reward -588.6461323915028
episode 588, total reward -672.3600177140553
episode 589, total reward -435.0548245609696
episode 590, total reward -564.227792419919
episode 591, total reward -633.4790923113391
episode 592, total reward -538.7974552344634
episode 593, total reward -253.7898006907989
episode 594, total reward -243.5361737119542
episode 595, total reward -440.4141221842383
episode 596, total reward -274.2812923128726
episode 597, total reward -411.2513102770515
episode 598, total reward -572.6786829338745
episode 599, total reward -464.7498948276365
episode 600, total reward -263.9765737990385
start test!
average_test_reward_sum = -517.9167724958959
episode 601, total reward -375.5615745068082
episode 602, total reward -556.6718910477778
episode 603, total reward -584.6424353437254
episode 604, total reward -651.240393969969
episode 605, total reward -488.12417710567183
episode 606, total reward -255.76916132441818
episode 607, total reward -452.76534873762256
episode 608, total reward -474.0747160480734
episode 609, total reward -565.8807980888828
episode 610, total reward -607.0928110684388
episode 611, total reward -290.0943679019906
episode 612, total reward -690.7346292964544
episode 613, total reward -497.43727271396693
episode 614, total reward -522.7790050182919
episode 615, total reward -543.432671284153
episode 616, total reward -547.3775293897085
episode 617, total reward -625.500870220569
episode 618, total reward -453.4380910100015
episode 619, total reward -326.39936334963886
episode 620, total reward -597.0060729159355
start test!
average_test_reward_sum = -534.7797466920158
episode 621, total reward -596.1760284094431
episode 622, total reward -348.31342233950284
episode 623, total reward -272.1905430153562
episode 624, total reward -512.8846462385284
episode 625, total reward -442.9200603568808
episode 626, total reward -502.52531756628247
episode 627, total reward -688.6646218469002
episode 628, total reward -373.5979679912302
episode 629, total reward -514.5725157607886
episode 630, total reward -281.72394019368073
episode 631, total reward -365.6055443724984
episode 632, total reward -363.8595387665054
episode 633, total reward -447.7214041873338
episode 634, total reward -439.72089431771235
episode 635, total reward -629.6699254815851
episode 636, total reward -473.8652567790746
episode 637, total reward -426.78969115085175
episode 638, total reward -334.3404535203653
episode 639, total reward -517.4102693294352
episode 640, total reward -556.2985711569822
start test!
average_test_reward_sum = -501.26123151511763
episode 641, total reward -377.82638929616246
episode 642, total reward -544.1153487540437
episode 643, total reward -256.6866747171711
episode 644, total reward -615.2314954873968
episode 645, total reward -373.230354929119
episode 646, total reward -658.1387188652595
episode 647, total reward -371.6168784625824
episode 648, total reward -636.5680242051421
episode 649, total reward -251.17508324272717
episode 650, total reward -459.27912741009885
episode 651, total reward -483.30877732265145
episode 652, total reward -361.0250030735755
episode 653, total reward -440.78633589776314
episode 654, total reward -569.9114426759618
episode 655, total reward -501.3756403876463
episode 656, total reward -361.9959559625006
episode 657, total reward -493.4683173419753
episode 658, total reward -610.79769035006
episode 659, total reward -598.3754396699655
episode 660, total reward -261.67106542923267
start test!
average_test_reward_sum = -496.05326192079974
episode 661, total reward -363.44574796870904
episode 662, total reward -369.91313168471146
episode 663, total reward -421.4049417996924
episode 664, total reward -527.8347663976019
episode 665, total reward -374.481240839675
episode 666, total reward -474.2718650576527
episode 667, total reward -363.86787045091546
episode 668, total reward -289.00641588707487
episode 669, total reward -557.8402236001343
episode 670, total reward -365.1489150292812
episode 671, total reward -648.117411989538
episode 672, total reward -713.306954567629
episode 673, total reward -622.9279797137596
episode 674, total reward -466.1457459988552
episode 675, total reward -469.42258946532684
episode 676, total reward -191.95178463145402
episode 677, total reward -531.7975301566386
episode 678, total reward -415.0481472134461
episode 679, total reward -379.51357713778276
episode 680, total reward -459.4445967031999
start test!
average_test_reward_sum = -529.6658483182202
episode 681, total reward -647.9332771587278
episode 682, total reward -562.0263502009337
episode 683, total reward -564.7136818387838
episode 684, total reward -425.52060892222323
episode 685, total reward -250.29911946063916
episode 686, total reward -459.52456657646866
episode 687, total reward -358.00295972274074
episode 688, total reward -446.12357470849724
episode 689, total reward -460.26214260300793
episode 690, total reward -389.4578300927021
episode 691, total reward -622.7033335756823
episode 692, total reward -247.4712008837079
episode 693, total reward -345.79354154238064
episode 694, total reward -478.55051341569396
episode 695, total reward -487.46335287410693
episode 696, total reward -680.7486000980895
episode 697, total reward -363.7600421506315
episode 698, total reward -250.60376536427964
episode 699, total reward -460.91429360394136
episode 700, total reward -479.63311952775916
start test!
average_test_reward_sum = -531.7099062896975
episode 701, total reward -521.7051232922663
episode 702, total reward -656.1715624701275
episode 703, total reward -357.1829927760672
episode 704, total reward -358.2658499371127
episode 705, total reward -620.6587878509469
episode 706, total reward -257.3620938918637
episode 707, total reward -257.08970885273663
episode 708, total reward -519.6335275411199
episode 709, total reward -534.074610897565
episode 710, total reward -554.7168309211185
episode 711, total reward -697.7736012259714
episode 712, total reward -423.12222576675464
episode 713, total reward -494.30921027006985
episode 714, total reward -425.6152128697646
episode 715, total reward -460.2246750500214
episode 716, total reward -548.6511893481178
episode 717, total reward -433.94940226766374
episode 718, total reward -254.2056953442245
episode 719, total reward -551.8390554354128
episode 720, total reward -483.03567693590645
start test!
average_test_reward_sum = -489.7074756052245
episode 721, total reward -666.6122840101976
episode 722, total reward -698.4297264948199
episode 723, total reward -486.78951536989626
episode 724, total reward -469.5236229352041
episode 725, total reward -253.86711456360916
episode 726, total reward -369.02761872634727
episode 727, total reward -470.8036497503335
episode 728, total reward -382.2851251635775
episode 729, total reward -433.0923210618092
episode 730, total reward -589.8750045460349
episode 731, total reward -362.9579458389142
episode 732, total reward -625.1448548723512
episode 733, total reward -370.0638364471658
episode 734, total reward -509.4111516037563
episode 735, total reward -363.78502979112955
episode 736, total reward -365.191332770981
episode 737, total reward -449.65867579668947
episode 738, total reward -487.09908101330717
episode 739, total reward -361.75351399252486
episode 740, total reward -363.06632501208225
start test!
average_test_reward_sum = -502.2701328239456
episode 741, total reward -508.1288882925602
episode 742, total reward -530.9270310360358
episode 743, total reward -525.563442722091
episode 744, total reward -385.37419051674635
episode 745, total reward -372.66874641444787
episode 746, total reward -366.57084232849496
episode 747, total reward -661.3442770772598
episode 748, total reward -319.7553739081322
episode 749, total reward -383.0114021341431
episode 750, total reward -536.3457012338511
episode 751, total reward -367.57038264212866
episode 752, total reward -383.5873095711103
episode 753, total reward -677.5678283249126
episode 754, total reward -267.64761303059936
episode 755, total reward -267.66343414025386
episode 756, total reward -619.3615413721332
episode 757, total reward -631.9143479004518
episode 758, total reward -365.22767640729467
