****** begin! ******
****** step1 ******
episode 0, total reward -343.1650811730087
episode 407, total reward -303.63688502860066
episode 408, total reward -590.5272202469034
episode 409, total reward -550.0003329028984
episode 410, total reward -262.44330550847343
episode 411, total reward -452.6528034105468
episode 412, total reward -453.3033681782361
episode 413, total reward -511.8105740795829
episode 414, total reward -363.87843891568815
episode 415, total reward -255.1751540968955
episode 416, total reward -464.6903177257621
episode 417, total reward -561.288519312982
episode 418, total reward -566.2884629403723
episode 419, total reward -334.0625796027896
episode 420, total reward -271.2248642860196
start test!
average_test_reward_sum = -537.1154950213713
episode 421, total reward -370.1066458894267
episode 422, total reward -666.248999649165
episode 423, total reward -331.2630658320726
episode 424, total reward -436.899721918665
episode 425, total reward -367.98233750623626
episode 426, total reward -423.11238670772906
episode 427, total reward -654.3207925781361
episode 428, total reward -462.4117061289411
episode 429, total reward -616.4670331362786
episode 430, total reward -374.25530841077665
episode 431, total reward -478.88956520093956
episode 432, total reward -626.1869566272866
episode 433, total reward -372.69916365933994
episode 434, total reward -295.3635671068555
episode 435, total reward -692.2995988342044
episode 436, total reward -638.8024562579541
episode 437, total reward -474.6270606585816
episode 438, total reward -705.410665746385
episode 439, total reward -248.5998620652928
episode 440, total reward -540.6487967155185
start test!
average_test_reward_sum = -587.2524509822579
episode 441, total reward -449.7756303044985
episode 442, total reward -658.2843647563574
episode 443, total reward -585.2004841185648
episode 444, total reward -431.37734942213797
episode 445, total reward -523.4946539427476
episode 446, total reward -362.1406169114272
episode 447, total reward -608.5345943511044
episode 448, total reward -462.44298791175083
episode 449, total reward -475.83566650766375
episode 450, total reward -566.9369408131629
episode 451, total reward -459.0653078995366
episode 452, total reward -459.40066744352316
episode 453, total reward -508.47306407861015
episode 454, total reward -364.81616686580037
episode 455, total reward -355.2641543860793
episode 456, total reward -381.23891895980427
episode 457, total reward -601.0985103906044
episode 458, total reward -366.29409427173164
episode 459, total reward -449.8872440508637
episode 460, total reward -493.2346037260559
start test!
average_test_reward_sum = -540.3557553644998
episode 461, total reward -249.82864989310988
episode 462, total reward -259.0976934598139
episode 463, total reward -595.2462663098996
episode 464, total reward -370.5441202529693
episode 465, total reward -530.6573900764566
episode 466, total reward -546.5577430341724
episode 467, total reward -246.47212326286942
episode 468, total reward -639.0351698478539
episode 469, total reward -421.928608840331
episode 470, total reward -572.9520747236701
episode 471, total reward -393.6869254965935
episode 472, total reward -522.7821505999714
episode 473, total reward -576.6492432856204
episode 474, total reward -650.6006999158018
episode 475, total reward -581.6828151085806
episode 476, total reward -543.887430663959
episode 477, total reward -364.40717569370935
episode 478, total reward -658.719944377513
episode 479, total reward -308.8512721863856
episode 480, total reward -249.5334136679318
start test!
average_test_reward_sum = -578.1947870463091
episode 481, total reward -292.20879395134796
episode 482, total reward -395.8256741173099
episode 483, total reward -254.07797839563895
episode 484, total reward -667.3297868833625
episode 485, total reward -573.264842292685
episode 486, total reward -387.6451688387731
episode 487, total reward -359.83013561500684
