****** begin! ******
****** step1 ******
episode 0, total reward -549.498502532012
episode 467, total reward -607.8050631165074
episode 468, total reward -463.7636322897883
episode 469, total reward -346.9640574343049
episode 470, total reward -542.3888402500137
episode 471, total reward -506.1760670409231
episode 472, total reward -262.23307643956775
episode 473, total reward -254.23763353416155
episode 474, total reward -473.0329085284134
episode 475, total reward -615.4225307203151
episode 476, total reward -365.133907164892
episode 477, total reward -471.8418028934872
episode 478, total reward -274.8719934961736
episode 479, total reward -667.9450419006929
episode 480, total reward -615.7058788036067
start test!
average_test_reward_sum = -517.107640471709
episode 481, total reward -457.438921579271
episode 482, total reward -501.0794566725248
episode 483, total reward -369.6012905265542
episode 484, total reward -485.30866912668336
episode 485, total reward -330.9256251325123
episode 486, total reward -581.965750690126
episode 487, total reward -505.2612149068475
episode 488, total reward -690.5290685535861
episode 489, total reward -593.5564704416878
episode 490, total reward -472.32794765544963
episode 491, total reward -249.8390128902799
episode 492, total reward -613.4383716269153
episode 493, total reward -690.3103284377105
episode 494, total reward -440.2071598995431
episode 495, total reward -454.8822086846081
episode 496, total reward -622.2409135485678
episode 497, total reward -556.1088189179993
episode 498, total reward -361.0750713957822
episode 499, total reward -449.60226603677006
episode 500, total reward -580.902821143099
start test!
average_test_reward_sum = -522.662883013378
episode 501, total reward -379.06647573233687
episode 502, total reward -464.6941448013607
episode 503, total reward -258.8322995604978
episode 504, total reward -305.29623133718474
episode 505, total reward -491.1024476355731
episode 506, total reward -636.7576189042452
episode 507, total reward -356.35430871180444
episode 508, total reward -669.9544204132608
episode 509, total reward -537.0468886566282
episode 510, total reward -365.9943363222716
episode 511, total reward -570.4528487020423
episode 512, total reward -369.87813767574977
episode 513, total reward -350.9397911430797
episode 514, total reward -450.1615358941484
episode 515, total reward -362.164018432437
episode 516, total reward -363.7111901461363
episode 517, total reward -561.0145006491485
episode 518, total reward -362.4990095602468
episode 519, total reward -376.28116634535183
episode 520, total reward -372.31187788804215
start test!
average_test_reward_sum = -528.216128204929
episode 521, total reward -429.77876416436123
episode 522, total reward -364.84954254389777
episode 523, total reward -463.81673832929107
episode 524, total reward -543.1224756322439
episode 525, total reward -403.75951214414164
episode 526, total reward -397.8850557753764
episode 527, total reward -583.0363786475205
episode 528, total reward -359.2450076222743
episode 529, total reward -475.47718011011744
episode 530, total reward -260.6244092429158
episode 531, total reward -363.5318750827322
episode 532, total reward -440.4191171294143
episode 533, total reward -452.96712977499567
episode 534, total reward -577.9847177123945
episode 535, total reward -622.5771503060992
episode 536, total reward -360.61265413064945
episode 537, total reward -602.4257284247542
episode 538, total reward -483.0159309374106
episode 539, total reward -391.0645848666865
episode 540, total reward -501.5443279843358
start test!
average_test_reward_sum = -480.1148398690724
episode 541, total reward -362.25249888175716
episode 542, total reward -569.2864029602517
episode 543, total reward -361.07194855601534
episode 544, total reward -359.95685718246716
episode 545, total reward -554.8767429292026
episode 546, total reward -481.3772194423028
episode 547, total reward -568.4525783564591
episode 548, total reward -357.3500170151984
episode 549, total reward -300.0720328880481
episode 550, total reward -473.4437528813439
episode 551, total reward -455.15814078219705
episode 552, total reward -387.8950059846182
episode 553, total reward -250.56728942843958
episode 554, total reward -650.5240137806964
episode 555, total reward -436.36336268786675
episode 556, total reward -238.2121118521662
episode 557, total reward -454.00597799110034
episode 558, total reward -463.96452650722335
episode 559, total reward -377.03022744448486
episode 560, total reward -511.62864625266536
start test!
average_test_reward_sum = -492.09292083477675
episode 561, total reward -586.420301468791
episode 562, total reward -465.2449004158517
episode 563, total reward -336.2445773797077
episode 564, total reward -376.17726923562066
episode 565, total reward -365.40760485044393
episode 566, total reward -255.2022530332045
episode 567, total reward -374.37341462160424
episode 568, total reward -510.4903668507478
episode 569, total reward -374.60162018279397
episode 570, total reward -366.5975793304314
episode 571, total reward -527.8639690591903
episode 572, total reward -321.9557896009254
episode 573, total reward -661.8635556091034
episode 574, total reward -445.41384723672013
episode 575, total reward -585.5610818134053
episode 576, total reward -361.49123691616995
episode 577, total reward -433.88859019909916
episode 578, total reward -538.5283396831875
episode 579, total reward -522.0752902293237
episode 580, total reward -353.73538987633646
start test!
average_test_reward_sum = -529.9073780936114
episode 581, total reward -534.9160711563453
episode 582, total reward -478.06649115693784
episode 583, total reward -389.77137868121935
episode 584, total reward -659.1398594388457
episode 585, total reward -582.2731120151659
episode 586, total reward -488.2479263289274
episode 587, total reward -359.23886954836246
episode 588, total reward -511.5752245742085
episode 589, total reward -377.7108647119557
episode 590, total reward -451.4758787133872
episode 591, total reward -546.2799467628356
episode 592, total reward -584.1720734364364
episode 593, total reward -628.2906393025802
episode 594, total reward -702.3993760244958
episode 595, total reward -440.3690058341366
episode 596, total reward -382.56386193146153
episode 597, total reward -325.57687680650326
episode 598, total reward -364.051655324804
episode 599, total reward -383.80245745156736
episode 600, total reward -559.5822152172494
start test!
average_test_reward_sum = -514.0230640110152
episode 601, total reward -359.2475106092875
episode 602, total reward -476.20615680130265
episode 603, total reward -511.1805498945979
episode 604, total reward -610.5494888407322
episode 605, total reward -377.43726899292534
episode 606, total reward -668.2725828698177
episode 607, total reward -427.23438951555397
episode 608, total reward -645.899030448495
episode 609, total reward -338.81836748601245
episode 610, total reward -285.92911429205367
episode 611, total reward -480.95787552683214
episode 612, total reward -443.90777964703494
episode 613, total reward -463.7388836211157
episode 614, total reward -377.55485409380964
episode 615, total reward -378.89775225857807
episode 616, total reward -644.8940091904802
episode 617, total reward -264.73071001766016
