****** begin! ******
****** step1 ******
episode 0, total reward -305.36208882493764
episode 697, total reward -251.90377515742563
episode 698, total reward -346.92123398049165
episode 699, total reward -511.60124092052183
episode 700, total reward -504.6660390628232
start test!
average_test_reward_sum = -524.625269384692
episode 701, total reward -595.566188402003
episode 702, total reward -411.6824258535869
episode 703, total reward -449.87510027603395
episode 704, total reward -491.5768799469356
episode 705, total reward -466.0256822166469
episode 706, total reward -364.7019473549713
episode 707, total reward -579.3734887085808
episode 708, total reward -481.24283821536477
episode 709, total reward -402.43355732623326
episode 710, total reward -332.80506929354914
episode 711, total reward -699.3300028048704
episode 712, total reward -362.39855733216916
episode 713, total reward -460.91781661529046
episode 714, total reward -374.83535418167827
episode 715, total reward -577.4514636438323
episode 716, total reward -484.70270556271555
episode 717, total reward -318.281470689449
episode 718, total reward -610.0741241726623
episode 719, total reward -614.9100296903202
episode 720, total reward -267.9946008167144
start test!
average_test_reward_sum = -531.921529646547
episode 721, total reward -262.52650111937714
episode 722, total reward -361.13645063676296
episode 723, total reward -406.8832604310065
episode 724, total reward -583.6465524110034
episode 725, total reward -687.2623678023283
episode 726, total reward -366.26300189380447
episode 727, total reward -474.973957898915
episode 728, total reward -494.3229037016392
episode 729, total reward -295.6077461089232
episode 730, total reward -373.85290578451594
episode 731, total reward -484.95470879034883
episode 732, total reward -471.1485547339646
episode 733, total reward -351.59514755707517
episode 734, total reward -467.73277060048036
episode 735, total reward -569.8857201534571
episode 736, total reward -698.5006979856006
episode 737, total reward -362.93803759652366
episode 738, total reward -419.51478726807915
episode 739, total reward -264.4544826300021
episode 740, total reward -594.2441390841519
start test!
average_test_reward_sum = -494.43515370351304
episode 741, total reward -497.78926537566645
episode 742, total reward -665.5991645763628
episode 743, total reward -467.5094391223936
episode 744, total reward -629.2128141563585
episode 745, total reward -514.1016978535887
episode 746, total reward -362.3053740395437
episode 747, total reward -437.98469945792004
episode 748, total reward -357.0633199176427
episode 749, total reward -501.376889787833
episode 750, total reward -360.2198987961661
episode 751, total reward -362.57025602584895
episode 752, total reward -605.4930479544389
episode 753, total reward -623.5859341544362
episode 754, total reward -462.6386097606132
episode 755, total reward -542.5693343047524
episode 756, total reward -369.24542854986635
episode 757, total reward -438.12024368344316
